ID,Marca,Modelo,Precio,Anio,Kilometraje,Comustible,Transmision,Color,Motor
271,Porsche,Cayenne Diesel,140000,2015,58000,Diesel,Automatic,White,2967 cc
272,Nissan,Terrano XL D Plus,140000,2014,85000,Diesel,Manual,Silver,1461 cc
273,Renault,Kwid 1.0 RXT [2016-2019],140000,2016,26000,Petrol,Manual,Brown,999 cc
274,Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],200000,2020,18000,Petrol,Automatic,Black,1353 cc
275,Mahindra,Thar LX 4-STR Hard Top Diesel AT,200000,2022,11000,Diesel,Automatic,Black,2184 cc
276,Land Rover,Discovery Sport HSE 7-Seater,140000,2018,57300,Diesel,Automatic,White,2179 cc
277,BMW,5-Series 525d Sedan,80000,2010,74000,Diesel,Automatic,Silver,2497 cc
278,Toyota,Glanza G CVT,200000,2019,25000,Petrol,Automatic,Red,1197 cc
279,Hyundai,Creta 1.6 SX Plus AT Petrol,140000,2017,39000,Petrol,Automatic,Red,1591 cc
280,Toyota,Innova 2.4 G 7 STR [2016-2017],200000,2020,45000,Diesel,Manual,Grey,2393 cc
281,Volkswagen,Polo GT TSI,140000,2015,80852,Petrol,Automatic,Grey,1198 cc
282,Isuzu,MU-X 4x2,140000,2018,75592,Diesel,Automatic,White,2999 cc
283,Maruti Suzuki,Alto VXi,140000,2014,54420,Petrol,Manual,Silver,998 cc
284,Toyota,Corolla Altis G AT Petrol,140000,2015,39780,Petrol,Automatic,White,1798 cc
285,Hyundai,i10 Sportz 1.2 AT Kappa2,140000,2013,78301,Petrol,Automatic,Grey,1197 cc
286,Tata,Hexa XE 4x2 7 STR,140000,2018,38000,Diesel,Manual,White,2179 cc
287,Hyundai,i10 Sportz 1.2,80000,2009,126535,Petrol,Manual,Gold,1197 cc
288,Hyundai,Creta 1.6 SX Plus AT Petrol,140000,2016,37079,Petrol,Automatic,Red,1591 cc
289,Mercedes-Benz,GLS 350 d,140000,2018,87200,Diesel,Automatic,White,2987 cc
290,Audi,Q3 2.0 TDI quattro Premium Plus,140000,2014,51000,Diesel,Automatic,Gold,1968 cc
291,Volkswagen,Polo Comfortline 1.2L (P),140000,2013,39000,Petrol,Manual,Red,1198 cc
292,Maruti Suzuki,Ritz VXI BS-IV,80000,2011,90000,Petrol,Manual,White,No_info
293,Jaguar,XE Prestige Diesel,140000,2017,29999,Diesel,Automatic,Blue,1999 cc
294,Tata,Safari 4x2 EX TCIC,140000,2014,100472,Diesel,Manual,White,1948 cc
295,Audi,Q3 35 TDI Premium + Sunroof,140000,2016,84700,Diesel,Automatic,White,1968 cc
296,Maruti Suzuki,Alto LXi BS-III,80000,2008,19759,Petrol,Manual,Blue,796 cc
297,Jaguar,XF 3.0 V6 Premium Luxury,140000,2014,66000,Diesel,Automatic,Green,No_info
298,Hyundai,Verna Fluidic 1.6 VTVT SX Opt,140000,2014,56000,Petrol,Manual,Red,1591 cc
299,Hyundai,Venue SX 1.0 Turbo iMT,200000,2022,3383,Petrol,Manual,Blue,998 cc
300,Maruti Suzuki,Vitara Brezza VDi,140000,2018,42000,Diesel,Manual,White,1248 cc
301,BMW,X3 xDrive20d,140000,2012,65000,Diesel,Automatic,Silver,1995 cc
302,Honda,WR-V VX MT Petrol,200000,2019,17000,Petrol,Manual,White,1199 cc
303,BMW,5-Series 520d Luxury Line [2017-2019],140000,2016,38000,Diesel,Automatic,White,1995 cc
304,Honda,Amaze 1.5 S i-DTEC,140000,2014,62500,Diesel,Manual,Bronze,1498 cc
305,Tata,Harrier XZA Plus Dual Tone,200000,2021,30229,Diesel,Automatic,White,1956 cc
306,Porsche,911 Carrera 4,200000,2019,9000,Petrol,Automatic,Blue,3436 cc
307,Maruti Suzuki,Wagon R LXI CNG (O),140000,2016,26600,CNG,Manual,Brown,998 cc
308,Maruti Suzuki,Ciaz Delta 1.3 Hybrid,140000,2017,86000,Diesel,Manual,Brown,1248 cc
309,Hyundai,Tucson GL 2WD AT Petrol,140000,2017,86000,Petrol,Automatic,Blue,1999 cc
310,Volkswagen,Polo 1.2 TDI,140000,2014,125000,Diesel,Manual,Silver,No_info
311,Hyundai,i20 Sportz 1.2,140000,2013,29135,Petrol,Manual,White,1197 cc
312,Volvo,V40 D3 Kinetic,140000,2015,50965,Diesel,Automatic,White,1984 cc
313,Toyota,Fortuner 3.0 4x2 AT,140000,2014,72000,Diesel,Automatic,White,2982 cc
314,Mercedes-Benz,C-Class C 200 Avantgarde,140000,2016,28000,Petrol,Automatic,Silver,1991 cc
315,Honda,Jazz V AT Petrol,140000,2015,42000,Petrol,Automatic,White,1199 cc
316,Mercedes-Benz,S-Class S 350D [2018-2020],140000,2017,11850,Diesel,Automatic,White,2925 cc
317,Honda,Jazz S,80000,2010,32000,Petrol,Manual,Silver,1198 cc
318,BMW,3-Series 320d Luxury Edition,200000,2021,24000,Diesel,Automatic,White,1995 cc
319,Land Rover,Evoque HSE Dynamic,140000,2015,50623,Diesel,Automatic,Gold,2179 cc
320,Mahindra,Xylo D2 BS-IV,140000,2012,85000,Diesel,Manual,White,2489 cc
321,Hyundai,Venue SX 1.5 CRDi,200000,2022,1700,Diesel,Manual,White,1493 cc
322,Volkswagen,Polo GT TSI,200000,2020,43260,Petrol,Automatic,Red,1197 cc
323,Maruti Suzuki,Wagon R LXI CNG,140000,2015,67738,CNG,Manual,White,998 cc
324,Mahindra,Scorpio S11 4WD 7 STR,200000,2019,69000,Diesel,Manual,Black,2179 cc
325,Audi,A4 2.0 TDI (143 bhp),140000,2012,93417,Diesel,Automatic,White,No_info
326,Maruti Suzuki,Swift VXi,200000,2021,14722,Petrol,Manual,White,1197 cc
327,Toyota,Innova 2.4 VX 7 STR [2016-2020],140000,2017,29000,Diesel,Manual,Bronze,2393 cc
328,Jeep,Compass Limited (O) 1.4 Petrol AT [2017-2020],140000,2017,60200,Petrol,Automatic,White,1368 cc
329,Maruti Suzuki,Swift VDi,140000,2017,140000,Diesel,Manual,Grey,1248 cc
330,Honda,WR-V S MT Petrol,140000,2017,23798,Petrol,Manual,Brown,1199 cc
331,Honda,City 1.5 S MT,80000,2011,55000,Petrol,Manual,Silver,1497 cc
332,Volkswagen,Vento TSI,140000,2017,51000,Petrol,Automatic,White,1197 cc
333,Honda,Brio S MT,140000,2014,49000,Petrol,Manual,Brown,1198 cc
334,Renault,Duster RXL Petrol,140000,2017,48000,Petrol,Manual,Black,1498 cc
335,BMW,5-Series 520d Sedan,140000,2013,121000,Diesel,Automatic,Blue,1995 cc
336,Ford,Fiesta Style Diesel [2011-2014],140000,2013,74000,Diesel,Manual,Maroon,1498 cc
337,Mahindra,XUV500 W8,140000,2012,102000,Diesel,Manual,Grey,2179 cc
338,BMW,5-Series 530i Sport Line,140000,2018,32000,Petrol,Automatic,Blue,1998 cc
339,Tata,Nexon EV XZ Plus,200000,2020,48400,Electric,Automatic,White,No_info
340,Tata,Safari 2.2 EX 4x2,140000,2013,97000,Diesel,Manual,Black,2179 cc
341,Kia,Seltos GTX Plus AT 1.4 [2019-2020],200000,2021,16000,Petrol,Automatic,Red,1353 cc
342,Porsche,Cayenne Platinum Edition Diesel,140000,2016,55700,Diesel,Automatic,Silver,2967 cc
343,BMW,X5 xDrive30d xLine,140000,2017,80000,Diesel,Automatic,White,2993 cc
344,Ford,Ecosport Trend 1.5 TDCi,140000,2014,115000,Diesel,Manual,White,1498 cc
345,Hyundai,Grand i10 NIOS Magna 1.2 Kappa VTVT,200000,2020,74000,Petrol,Manual,White,1197 cc
346,Hyundai,Elite i20 Sportz 1.4,140000,2015,61000,Diesel,Manual,Silver,1396 cc
347,Toyota,Corolla Altis 1.8 G,140000,2014,104814,Petrol,Manual,Grey,1798 cc
348,Hyundai,Elantra 1.8 SX MT,140000,2013,17000,Petrol,Manual,White,1797 cc
349,Audi,Q3 35 TDI Premium + Sunroof,140000,2015,60000,Diesel,Automatic,White,1968 cc
350,Maruti Suzuki,Swift Lxi (O) [2014-2017],140000,2016,45000,Petrol,Manual,White,1197 cc
351,Mahindra,XUV500 W10,140000,2016,75811,Diesel,Manual,Black,2179 cc
352,Mahindra,Thar AX 4-STR Convertible Petrol MT,200000,2021,3813,Petrol,Manual,Red,1997 cc
353,Maruti Suzuki,Swift VXi [2014-2017],140000,2016,64928,Petrol,Manual,Red,1197 cc
354,Maruti Suzuki,DZire VDi,140000,2018,68500,Diesel,Manual,Grey,1248 cc
355,Toyota,Fortuner 3.0 4x2 AT,140000,2014,85000,Diesel,Automatic,White,2982 cc
356,BMW,5-Series 520d M Sport,140000,2017,41296,Diesel,Automatic,Blue,1995 cc
357,Honda,Amaze 1.5 SX i-DTEC,140000,2013,72567,Diesel,Manual,White,1498 cc
358,Maruti Suzuki,Wagon R VXI+,200000,2020,4295,Petrol,Manual,Silver,998 cc
359,Maruti Suzuki,Vitara Brezza ZDi Plus,140000,2018,82000,Diesel,Manual,White,1248 cc
360,Maruti Suzuki,Swift DZire LXi,80000,2010,33000,Petrol,Manual,Grey,1298 cc
361,Fiat,Linea Emotion 1.4,80000,2011,54000,Petrol,Manual,Black,1368 cc
362,Hyundai,Creta SX 1.6 CRDi (O),140000,2018,68000,Diesel,Manual,Black,1582 cc
363,Honda,City ZX CVT Petrol,200000,2022,8530,Petrol,Automatic,White,1498 cc
364,Hyundai,Tucson GLS 2WD AT Petrol,140000,2018,46000,Petrol,Automatic,Black,1999 cc
365,Toyota,Innova 2.7 VX 7 STR [2016-2020],200000,2020,26000,Petrol,Manual,Silver,2694 cc
366,Audi,TT 2.0 TFSI Quattro,140000,2014,39394,Petrol,Automatic,White,1984 cc
367,Tata,Tiago Revotron XTA [2017-2019],140000,2018,35000,Petrol,Automatic,Blue,1199 cc
368,Maruti Suzuki,Swift VXi [2014-2017],200000,2019,17881,Petrol,Manual,Grey,1197 cc
369,Honda,City E [2013-2016],140000,2014,48409,Petrol,Manual,White,1497 cc
370,Maruti Suzuki,Alto 800 Vxi (Airbag),200000,2020,40000,Petrol,Manual,White,796 cc
371,Audi,Q3 35 TDI Premium + Sunroof,140000,2017,61643,Diesel,Automatic,Blue,1968 cc
372,Mercedes-Benz,C-Class Cabriolet C 300,200000,2020,21000,Petrol,Automatic,White,1991 cc
373,Tata,Nexon XZ Plus Dark Edition,200000,2022,1500,Petrol,Manual,Black,1199 cc
374,Ford,Ecosport Ambiente 1.5L TDCi,140000,2014,38985,Diesel,Manual,Silver,1498 cc
375,Honda,Jazz SV Petrol,140000,2015,52000,Petrol,Manual,Brown,1199 cc
376,Hyundai,i10 Sportz 1.2 Kappa2,80000,2011,42000,Petrol,Manual,Grey,1197 cc
377,Honda,Amaze 1.2 VX AT i-VTEC,140000,2014,29442,Petrol,Automatic,Silver,1198 cc
378,Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],140000,2017,71800,Diesel,Manual,Black,1956 cc
379,Mercedes-Benz,C-Class C 200 Progressive [2018-2020],200000,2022,5000,Petrol,Automatic,White,1497 cc
380,Hyundai,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,200000,2020,18000,CNG,Manual,Green,1197 cc
381,Toyota,Fortuner 2.8 4x2 AT [2016-2020],140000,2018,37000,Diesel,Automatic,White,2755 cc
382,Honda,City 1.5 S MT,80000,2009,85000,Petrol,Manual,White,1497 cc
383,Hyundai,Xcent E Plus CRDi,140000,2018,65555,Diesel,Manual,White,1186 cc
384,Land Rover,Evoque SE R-Dynamic,200000,2021,35000,Diesel,Automatic,Beige,1999 cc
385,BMW,X3 xDrive 20d Luxury Line [2018-2020],140000,2018,87000,Diesel,Automatic,Blue,1995 cc
386,Hyundai,Creta 1.6 SX Plus AT Petrol,140000,2018,42000,Petrol,Automatic,White,1591 cc
387,Mahindra,Scorpio S11 4WD 7 STR,140000,2018,68000,Diesel,Manual,White,2179 cc
388,MG,Astor Sharp EX 1.5 MT,200000,2022,600,Petrol,Manual,Orange,1498 cc
389,Tata,Grande GX,80000,2011,192326,Diesel,Manual,White,2179 cc
390,Toyota,Innova 2.0 V,140000,2013,82000,Petrol,Manual,Gold,1998 cc
391,Toyota,Etios Liva VD Dual Tone,140000,2017,86006,Diesel,Manual,White,1364 cc
392,Honda,City SV Diesel,140000,2014,75000,Diesel,Manual,White,1498 cc
393,Mahindra,Scorpio S10,140000,2014,99000,Diesel,Manual,Silver,2179 cc
394,Skoda,Superb L&K TSI AT,200000,2021,21651,Petrol,Automatic,Blue,1798 cc
395,Hyundai,i20 Active 1.4 SX,140000,2016,84000,Diesel,Manual,White,1396 cc
396,Mercedes-Benz,M-Class ML 350 CDI,140000,2014,65000,Diesel,Automatic,White,2997 cc
397,Maruti Suzuki,Ciaz Zeta 1.4 AT,140000,2017,31000,Petrol,Automatic,Blue,1373 cc
398,Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],200000,2022,17000,Diesel,Automatic,Grey,1950 cc
399,Mahindra,Thar AX 6-STR Soft Top Diesel MT,200000,2020,28000,Diesel,Manual,Black,2184 cc
400,Honda,City S Diesel,140000,2015,64000,Diesel,Manual,White,1498 cc
401,Honda,City SV Diesel,140000,2014,85000,Diesel,Manual,Silver,1498 cc
402,Maruti Suzuki,Baleno Alpha 1.2 AT,140000,2017,35000,Petrol,Automatic,Blue,1197 cc
403,Volvo,V40 Cross Country D3,140000,2015,44000,Diesel,Automatic,Blue,1984 cc
404,Maruti Suzuki,Celerio X Zxi AMT [2017-2019],140000,2017,32000,Petrol,Automatic,Orange,998 cc
405,Maruti Suzuki,Wagon R LXI ABS,140000,2016,49857,Petrol,Manual,White,998 cc
406,Maruti Suzuki,Wagon R VXI+,140000,2013,46000,Petrol,Manual,White,998 cc
407,Maruti Suzuki,Wagon R LXi Minor,80000,2008,50000,Petrol,Manual,Silver,1061 cc
408,Maruti Suzuki,Baleno Delta 1.2 AT,140000,2017,36000,Petrol,Automatic,White,1197 cc
409,Renault,Kiger RXT Turbo CVT,200000,2021,13000,Petrol,Automatic,White,999 cc
410,Maruti Suzuki,Wagon R VXi 1.0 [2019-2019],140000,2018,40000,Petrol,Manual,White,No_info
411,Mercedes-Benz,E-Class 200 K Classic,80000,2007,39000,Petrol,Automatic,Silver,No_info
412,Hyundai,Eon 1.0 Kappa Magna + [2014-2016],140000,2013,45000,Petrol,Manual,Grey,998 cc
413,Maruti Suzuki,Alto LXi BS-III,80000,2011,87513,Petrol,Manual,Blue,796 cc
414,Mercedes-Benz,S-Class 350 L,80000,2011,26000,Petrol,Automatic,Black,3498 cc
415,Maruti Suzuki,S-Presso VXi CNG,200000,2022,3800,CNG,Manual,White,998 cc
416,Toyota,Innova 2.4 VX 8 STR [2016-2020],140000,2018,35123,Diesel,Manual,White,2393 cc
417,Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],200000,2021,21000,Diesel,Automatic,Grey,1493 cc
418,Hyundai,Creta SX (O) 1.5 Petrol CVT [2020-2022],200000,2022,2670,Petrol,Automatic,White,1497 cc
419,Skoda,Rapid Ambition 1.6 TDI CR MT,140000,2016,124000,Diesel,Manual,Grey,1598 cc
420,Hyundai,Elite i20 Asta 1.2 (O) [2016],140000,2016,9889,Petrol,Manual,Blue,1197 cc
421,Honda,City ZX CVT Petrol,200000,2021,13000,Petrol,Automatic,Brown,1497 cc
422,Tata,Nexon XZA Plus Petrol,140000,2018,35000,Petrol,Automatic,Orange,1198 cc
423,Maruti Suzuki,Baleno Zeta 1.2,140000,2017,51145,Petrol,Manual,Red,1197 cc
424,Mercedes-Benz,GLS 350 d,200000,2019,13000,Diesel,Automatic,White,2987 cc
425,Audi,RS5 4.2 Coupe,80000,2011,56000,Petrol,Automatic,Red,4163 cc
426,Toyota,Innova 2.5 G 8 STR BS-III,80000,2010,120000,Diesel,Manual,Silver,No_info
427,Mercedes-Benz,GLC 220 d Progressive,140000,2018,45000,Diesel,Automatic,Grey,2143 cc
428,Skoda,Superb L&K TDI AT,140000,2017,82900,Diesel,Automatic,Brown,1968 cc
429,Maruti Suzuki,Alto 800 Lxi CNG,140000,2014,56843,CNG + CNG,Manual,White,796 cc
430,Ford,Figo Duratec Petrol Titanium 1.2,140000,2015,64000,Petrol,Manual,Grey,1196 cc
431,Maruti Suzuki,DZire VXi AMT,200000,2019,9644,Petrol,Automatic,Blue,1197 cc
432,Maruti Suzuki,Celerio ZXi (O) AMT [2019-2020],140000,2017,41624,Petrol,Automatic,White,998 cc
433,Hyundai,Grand i10 Sportz U2 1.2 CRDi,140000,2016,82844,Diesel,Manual,Grey,1186 cc
434,Mercedes-Benz,E-Class E250 Elegance,80000,2011,78000,Petrol,Automatic,White,2497 cc
435,Renault,Duster RXL Petrol,140000,2017,60444,Petrol,Manual,Red,1498 cc
436,BMW,3-Series 330i M Sport Edition,200000,2022,6000,Petrol,Automatic,White,1998 cc
437,Mahindra,Scorpio S10,140000,2014,125000,Diesel,Manual,White,2179 cc
438,Hyundai,Creta 1.6 SX Plus AT Petrol,200000,2019,13000,Petrol,Automatic,White,1591 cc
439,Maruti Suzuki,Ertiga VDi,140000,2015,112000,Diesel,Manual,Gold,1248 cc
440,Maruti Suzuki,Ritz Vdi BS-IV,140000,2012,54948,Diesel,Manual,Silver,1248 cc
441,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],140000,2016,53300,Petrol,Manual,Maroon,1197 cc
442,Honda,City SV,200000,2019,34000,Petrol,Manual,White,1497 cc
443,Mercedes-Benz,S-Class Maybach S 560,200000,2021,21000,Petrol,Automatic,Black,3982 cc
444,Land Rover,Evoque HSE Dynamic,140000,2017,25500,Diesel,Automatic,White,1999 cc
445,Mahindra,XUV500 W8 1.99 [2016-2017],140000,2015,157662,Diesel,Manual,Silver,1997 cc
446,Mercedes-Benz,CLA 200 D Urban Sport,140000,2018,20000,Diesel,Automatic,Red,2143 cc
447,Hyundai,Xcent SX 1.1 CRDi,140000,2018,78900,Diesel,Manual,Silver,1120 cc
448,Maruti Suzuki,Wagon R LXi CNG,80000,2011,52000,CNG,Manual,Brown,998 cc
449,Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],200000,2022,11000,Diesel,Automatic,Black,1950 cc
450,Skoda,Kodiaq Style 2.0 TDI 4x4 AT,140000,2018,103000,Diesel,Automatic,White,No_info
451,Tata,Hexa XTA 4x2 7 STR,140000,2017,95785,Diesel,Automatic,Blue,2179 cc
452,Ford,Ecosport Titanium 1.5L TDCi,140000,2017,92000,Diesel,Manual,Brown,1498 cc
453,Jaguar,F-Pace Prestige,200000,2019,43000,Diesel,Automatic,Black,1999 cc
454,Mercedes-Benz,CLA 200 CDI Sport,140000,2017,39328,Diesel,Automatic,Silver,2143 cc
455,Toyota,Innova 2.4 ZX AT 7 STR,200000,2020,18625,Diesel,Automatic,Bronze,2393 cc
456,Maruti Suzuki,Swift VXi [2014-2017],200000,2019,26000,Petrol,Manual,Blue,1197 cc
457,MINI,Countryman Cooper D,140000,2014,81000,Diesel,Automatic,Purple,1995 cc
458,Maruti Suzuki,DZire ZDi Plus AMT,140000,2018,92000,Diesel,Automatic,White,1248 cc
459,Mahindra,Scorpio S3 2WD 7 STR,200000,2019,38000,Diesel,Manual,White,2523 cc
460,Tata,Manza Aqua Safire BS-IV,140000,2012,93000,Petrol,Manual,Silver,1368 cc
461,Maruti Suzuki,Wagon R VXI,200000,2019,10340,Petrol,Manual,White,998 cc
462,Audi,Q3 2.0 TDI quattro Premium,140000,2015,47706,Diesel,Automatic,Black,1968 cc
463,Maruti Suzuki,XL6 Alpha MT Petrol,200000,2021,13400,Petrol,Manual,White,1462 cc
464,Ford,Aspire Titanium1.5 TDCi,140000,2016,44613,Diesel,Manual,Silver,1498 cc
465,Porsche,718 Cayman [2017-2020],140000,2017,7000,Petrol,Automatic,Red,1988 cc
466,Maruti Suzuki,Swift VXi [2014-2017],200000,2019,29000,Petrol,Manual,Grey,1197 cc
467,BMW,3-Series 320d Luxury Line,200000,2020,23000,Diesel,Automatic,White,1995 cc
468,Maruti Suzuki,Wagon R LXI CNG (O),140000,2015,67580,CNG,Manual,White,998 cc
469,Hyundai,Verna 1.6 VTVT S,140000,2015,42000,Petrol,Manual,Red,1591 cc
470,Hyundai,Eon 1.0 Kappa Magna AirBag,140000,2015,16205,Petrol,Manual,White,998 cc
471,Maruti Suzuki,Grand Vitara 2015 2.0 AT,80000,2007,92000,Petrol,Automatic,Black,1995 cc
472,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],140000,2016,29000,Petrol,Automatic,Silver,1197 cc
473,Mercedes-Benz,GLE 300d 4MATIC LWB,200000,2022,14000,Diesel,Automatic,White,1950 cc
474,Mahindra,TUV300 T8 AMT mHAWK100,140000,2017,69000,Diesel,Automatic,Black,1493 cc
475,Honda,City V Diesel,140000,2015,114635,Diesel,Manual,Grey,1498 cc
476,BMW,X1 sDrive20d xLine,140000,2018,50000,Diesel,Automatic,Blue,1995 cc
477,BMW,X1 sDrive20d xLine,200000,2019,29221,Diesel,Automatic,Blue,1995 cc
478,Mercedes-Benz,S-Class 300,140000,2012,158000,Petrol,Automatic,Brown,No_info
479,Audi,A6 2.0 TDI Premium,140000,2012,77000,Diesel,Automatic,Blue,1968 cc
480,Mercedes-Benz,GLC 220d 4MATIC Progressive,200000,2022,5500,Diesel,Automatic,White,1950 cc
481,BMW,3-Series 320d Sport Line,140000,2013,70000,Diesel,Automatic,Blue,1995 cc
482,BMW,X5 xDrive 30d M Sport,140000,2017,65341,Diesel,Automatic,White,2993 cc
483,Honda,City VX CVT Petrol,200000,2022,32000,Petrol,Automatic,Brown,1498 cc
484,Ferrari,488 GTB,140000,2018,9500,Petrol,Automatic,Black,3902 cc
485,Volkswagen,Tiguan Highline TDI,200000,2020,17904,Diesel,Automatic,White,1968 cc
486,Land Rover,Evoque Pure SD4,140000,2012,95000,Diesel,Automatic,White,2179 cc
487,Maruti Suzuki,Wagon R LXi CNG,140000,2013,72000,CNG,Manual,Brown,998 cc
488,Maruti Suzuki,Zen LXi BS-II,80000,2004,65082,Petrol,Manual,Yellow,No_info
489,Honda,Brio S MT,140000,2012,66240,Petrol,Manual,Grey,No_info
490,Mercedes-Benz,GLE 43 4MATIC [2017-2019],140000,2018,25275,Petrol,Automatic,Black,2996 cc
491,Maruti Suzuki,Wagon R LXI CNG,140000,2016,67850,CNG,Manual,Red,998 cc
492,Tata,Nano Base,80000,2010,60000,Petrol,Manual,White,624 cc
493,Mahindra,Bolero SLX 2WD,140000,2012,88500,Diesel,Manual,White,No_info
494,Maruti Suzuki,Swift VDi,140000,2017,105000,Diesel,Manual,Silver,1248 cc
495,Hyundai,Creta SX 1.6 AT Petrol,200000,2019,45000,Petrol,Automatic,White,1591 cc
496,Mercedes-Benz,E-Class E 220 d Avantgarde,200000,2021,8000,Diesel,Automatic,White,1950 cc
497,Toyota,Corolla Altis G AT Petrol,140000,2018,38000,Petrol,Automatic,Gold,1798 cc
498,Maruti Suzuki,S-Cross Zeta 1.3,200000,2020,55055,Diesel,Manual,White,1248 cc
499,Maruti Suzuki,Baleno Zeta 1.2,200000,2021,22000,Petrol,Manual,Blue,1197 cc
500,Mitsubishi,Pajero 2.5 MT,140000,2013,95000,Diesel,Manual,Blue,2477 cc
501,Maruti Suzuki,Swift ZXi,140000,2014,25704,Petrol,Manual,Red,1197 cc
502,Maruti Suzuki,Swift DZire VDI,140000,2016,55353,Diesel,Manual,Grey,1248 cc
503,Audi,Q3 35 TDI Premium,140000,2015,80000,Diesel,Automatic,Silver,1968 cc
504,Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,140000,2018,62000,Petrol,Automatic,Brown,1197 cc
505,Ford,Endeavour Titanium 3.2 4x4 AT,200000,2019,41526,Diesel,Automatic,Silver,3198 cc
506,Tata,Tiago Revotron XT [2016-2019],140000,2018,29434,Petrol,Manual,Silver,1047 cc
507,Datsun,Go D,140000,2017,42000,Petrol,Manual,White,1198 cc
508,Kia,Seltos HTK Plus 1.5 [2019-2020],200000,2021,14000,Petrol,Manual,Black,1497 cc
509,BMW,3-Series 320d Sport Line,140000,2014,35000,Diesel,Automatic,Brown,1995 cc
510,Mercedes-Benz,C-Class C 250 CDI BlueEFFICIENCY,140000,2012,75000,Diesel,Automatic,White,No_info
511,Lamborghini,Huracan LP 610-4,140000,2016,6000,Petrol,Automatic,Blue,5204 cc
512,Mercedes-Benz,GLA 200 d Sport,140000,2018,61000,Diesel,Automatic,Gold,2143 cc
513,Mercedes-Benz,GLA 200 CDI Sport,140000,2015,45000,Diesel,Automatic,White,2143 cc
514,Mercedes-Benz,C-Class C 220d Progressive [2018-2019],200000,2019,31000,Diesel,Automatic,Blue,1950 cc
515,Hyundai,Elite i20 Sportz 1.2 MT,200000,2020,39000,Petrol,Manual,White,1197 cc
516,Maruti Suzuki,Estilo VXi BS-IV,140000,2012,52000,Petrol,Manual,White,998 cc
517,Maruti Suzuki,Wagon R LXi CNG,80000,2011,54000,CNG,Manual,Silver,998 cc
518,Hyundai,Eon Era +,140000,2018,51000,Petrol,Manual,White,814 cc
519,Maruti Suzuki,Alto VXi (O) [2014-2019],80000,2011,72000,Petrol,Manual,Silver,998 cc
520,Maruti Suzuki,Alto LXi BS-III,80000,2011,65000,Petrol,Manual,White,796 cc
521,Mercedes-Benz,GLE 300d 4MATIC LWB,200000,2020,50000,Diesel,Automatic,White,1950 cc
522,Audi,Q3 35 TDI Premium + Sunroof,140000,2016,80251,Diesel,Automatic,Blue,1968 cc
523,Hyundai,i10 Sportz 1.2,80000,2010,86000,Petrol,Manual,Grey,1197 cc
524,Maruti Suzuki,Alto 800 Lxi,140000,2014,42505,Petrol,Manual,Red,796 cc
525,Hyundai,Elite i20 Asta 1.2,140000,2017,42000,Petrol,Manual,Silver,1197 cc
526,BMW,7-Series 730Ld M Sport,140000,2017,42200,Diesel,Automatic,Black,2993 cc
527,Kia,Seltos GTX Plus AT 1.4 [2019-2020],200000,2019,57600,Petrol,Automatic,White,1353 cc
528,Mahindra,XUV500 W7 [2018-2020],140000,2018,57000,Diesel,Manual,Black,2179 cc
529,Ford,Endeavour 3.0L 4x4 AT,140000,2014,85000,Diesel,Automatic,Black,2953 cc
530,Hyundai,Tucson 2WD AT GLS Diesel,140000,2016,128000,Diesel,Automatic,White,1995 cc
531,Toyota,Etios V,80000,2011,66000,Petrol,Manual,Black,1496 cc
532,Volkswagen,Vento Comfortline Petrol,140000,2013,58000,Petrol,Manual,Bronze,1598 cc
533,Maruti Suzuki,Ritz Vdi BS-IV,140000,2012,89445,Diesel,Manual,Grey,1248 cc
534,Toyota,Fortuner 3.0 4x2 MT,140000,2015,64120,Diesel,Manual,White,2982 cc
535,Maruti Suzuki,Ciaz Alpha 1.4 MT,140000,2017,82300,Petrol,Manual,White,1373 cc
536,Maruti Suzuki,Vitara Brezza VDi,140000,2017,73000,Diesel,Manual,White,1248 cc
537,Maruti Suzuki,S-Cross Alpha 1.6,140000,2018,72000,Diesel,Manual,Blue,1598 cc
538,Volkswagen,Polo Highline1.0L (P),140000,2018,50197,Petrol,Manual,Grey,999 cc
539,Honda,Amaze 1.2 S i-VTEC,140000,2014,44527,Petrol,Manual,Brown,1198 cc
540,Audi,A4 35 TDI Technology,140000,2017,72400,Diesel,Automatic,White,1968 cc
541,Ford,Ecosport Trend 1.5 Ti-VCT,140000,2014,50000,Petrol,Manual,White,1499 cc
542,Honda,City VX (O) MT,140000,2014,37000,Petrol,Manual,White,1497 cc
543,Mercedes-Benz,GLS 400d 4MATIC,200000,2021,20000,Diesel,Automatic,Blue,2925 cc
544,Tata,Harrier XZA Plus Dark Edition,200000,2020,8000,Diesel,Automatic,Black,1956 cc
545,BMW,5-Series 520d Luxury Line,140000,2014,69000,Diesel,Automatic,White,1995 cc
